day,profit,energy_charged_kwh,energy_discharged_kwh
300,90.49450160328713,428.2847590574421,560.0
301,99.92653912946565,428.3545520706194,600.0
302,95.32538557626324,480.0,624.6632102571946
303,113.26246576835426,369.22803608074474,500.0
304,92.3534607972058,500.0,601.6771518413371
305,124.75189179765712,424.9854128640025,580.0
306,95.56234352333267,360.00000000000006,465.02093070304625
307,124.9919912290062,359.9999999999999,574.025520187699
308,112.56278798269634,400.0,631.2790625202471
309,68.2064873625331,487.9740354818134,580.0
310,150.10153807878595,189.98599086016048,380.0
311,161.56586628452118,433.0652192593029,560.0
312,129.51574298686808,363.6693053374562,500.0
313,169.26438884504202,337.8568068097613,560.0
314,66.97676217417524,460.0,477.0486539674929
315,49.146184332148835,439.08896807163023,460.0
316,37.10424582473891,355.14758461432183,360.0
317,139.14520549829234,400.17123706849486,600.0
318,106.4948604747991,293.24237977203586,480.0
319,134.30495972934395,271.1970844207634,480.0
320,107.89604310591669,320.00000000000006,554.8684021358634
321,103.58423174307548,248.2019445879863,440.0
322,94.69060608683478,389.24495305929634,500.0
323,110.75251105198086,720.0,667.3270023087493
324,105.83858787247804,431.614137791456,460.0
325,124.9804001256389,346.41895488139426,500.0
326,65.95357702309181,400.0,434.40478897817115
327,115.35704248815206,379.99999999999994,606.7205400919001
328,81.51692637093198,380.00000000000006,505.24359722001725
329,76.64122332828012,400.48113440227434,500.0
330,65.09866608933575,536.5066530948895,600.0
331,139.71217970951724,354.18391453578795,540.0
332,102.22186630829442,460.0,569.4760797319717
333,95.22662508058033,439.9999999999999,576.4241477284755
334,64.29605172422944,475.4904478952748,480.0
335,123.29395100976129,351.7674807017895,500.0
336,112.67797439215397,440.0,586.9029734533812
337,85.94181291020138,360.0,508.06415924994167
338,178.8048280679468,353.5004611564902,580.0
339,182.1274908941542,296.363128215164,460.0
340,67.01020671913513,393.71810386229134,480.0
341,99.63539997507011,415.11233108815804,520.0
342,90.24690934272165,279.99999999999994,447.4314870225436
343,58.86898730288476,385.54588680897524,400.0
344,74.00624578539434,459.97598829303973,620.0
345,162.8668617638768,379.0469112916418,540.0
346,89.26229999982749,360.00000000000006,410.4918146577219
347,127.50153576692995,369.0576885628352,400.0
348,119.69598512720712,424.2971957781958,499.99999999999994
349,112.35169954204187,412.70941497377055,499.99999999999994
350,109.37042314447423,440.0,576.847224900291
351,83.93723604902465,360.0,465.26436323095686
352,176.91179557379326,262.7902788657857,500.0
353,59.26157673628527,400.00000000000006,424.49075457952677
354,70.14043353863146,460.0,510.1304214627603
355,63.737142493764374,341.2857157076009,380.0
356,94.57299731539221,220.0,376.74599811169566
357,61.584201017457474,619.2100153904523,600.0
358,85.47245719978902,668.0854145144865,560.0
359,81.32040748875107,600.0,658.6621420803847
360,186.72364636837756,481.8472999250753,520.0
361,99.67681010358442,333.5099661205668,360.0
362,117.95955090272581,380.0,537.5191014716656
363,87.60736437775115,520.0,553.1639083236673
364,76.36932051660432,500.0,547.1797668032128
