Time;Price;;
01.01.16 00:00;22
01.01.16 01:00;20
01.01.16 02:00;16
01.01.16 03:00;17
01.01.16 04:00;17
01.01.16 05:00;15
01.01.16 06:00;18
01.01.16 07:00;17
01.01.16 08:00;19
01.01.16 09:00;23
01.01.16 10:00;26
01.01.16 11:00;27
01.01.16 12:00;26
01.01.16 13:00;25;;
01.01.16 14:00;24
01.01.16 15:00;28
01.01.16 16:00;37
01.01.16 17:00;37
01.01.16 18:00;35
01.01.16 19:00;33
01.01.16 20:00;29
01.01.16 21:00;30
01.01.16 22:00;24
01.01.16 23:00;22
02.01.16 00:00;16
02.01.16 01:00;15
02.01.16 02:00;12
02.01.16 03:00;11
02.01.16 04:00;11
02.01.16 05:00;12
02.01.16 06:00;13
02.01.16 07:00;16
02.01.16 08:00;18
02.01.16 09:00;19
02.01.16 10:00;21
02.01.16 11:00;22
02.01.16 12:00;19
02.01.16 13:00;16
02.01.16 14:00;16
02.01.16 15:00;19
02.01.16 16:00;28
02.01.16 17:00;28
02.01.16 18:00;26
02.01.16 19:00;17
02.01.16 20:00;15
02.01.16 21:00;16
02.01.16 22:00;15
02.01.16 23:00;6
03.01.16 00:00;-0
03.01.16 01:00;0
03.01.16 02:00;4
03.01.16 03:00;4
03.01.16 04:00;6
03.01.16 05:00;0
03.01.16 06:00;4
03.01.16 07:00;9
03.01.16 08:00;15
03.01.16 09:00;17
03.01.16 10:00;19
03.01.16 11:00;20
03.01.16 12:00;17
03.01.16 13:00;18
03.01.16 14:00;16
03.01.16 15:00;18
03.01.16 16:00;22
03.01.16 17:00;26
03.01.16 18:00;27
03.01.16 19:00;25
03.01.16 20:00;22
03.01.16 21:00;20
03.01.16 22:00;14
03.01.16 23:00;13
04.01.16 00:00;12
04.01.16 01:00;10
04.01.16 02:00;3
04.01.16 03:00;3
04.01.16 04:00;8
04.01.16 05:00;18
04.01.16 06:00;28
04.01.16 07:00;34
04.01.16 08:00;33
04.01.16 09:00;33
04.01.16 10:00;35
04.01.16 11:00;35;;
04.01.16 12:00;35;;
04.01.16 13:00;34
04.01.16 14:00;34
04.01.16 15:00;38;;
04.01.16 16:00;41
04.01.16 17:00;42
04.01.16 18:00;41
04.01.16 19:00;34
04.01.16 20:00;30
04.01.16 21:00;30;;
04.01.16 22:00;23
04.01.16 23:00;25
05.01.16 00:00;24
05.01.16 01:00;22
05.01.16 02:00;21
05.01.16 03:00;20;;
05.01.16 04:00;23
05.01.16 05:00;28
05.01.16 06:00;38
05.01.16 07:00;41
05.01.16 08:00;40
05.01.16 09:00;40
05.01.16 10:00;40
05.01.16 11:00;38
05.01.16 12:00;36
05.01.16 13:00;34
05.01.16 14:00;33
05.01.16 15:00;35
05.01.16 16:00;42
05.01.16 17:00;42
05.01.16 18:00;41
05.01.16 19:00;36
05.01.16 20:00;33
05.01.16 21:00;31
05.01.16 22:00;26
05.01.16 23:00;26
06.01.16 00:00;25
06.01.16 01:00;24
06.01.16 02:00;22
06.01.16 03:00;23
06.01.16 04:00;24
06.01.16 05:00;26
06.01.16 06:00;28
06.01.16 07:00;29
06.01.16 08:00;32
06.01.16 09:00;37
06.01.16 10:00;40
06.01.16 11:00;40
06.01.16 12:00;38
06.01.16 13:00;35
06.01.16 14:00;36
06.01.16 15:00;41
06.01.16 16:00;44
06.01.16 17:00;46
06.01.16 18:00;43
06.01.16 19:00;39
06.01.16 20:00;32
06.01.16 21:00;33
06.01.16 22:00;30
06.01.16 23:00;26
07.01.16 00:00;26
07.01.16 01:00;24
07.01.16 02:00;22
07.01.16 03:00;22
07.01.16 04:00;24
07.01.16 05:00;31;;
07.01.16 06:00;42
07.01.16 07:00;42
07.01.16 08:00;41
07.01.16 09:00;41
07.01.16 10:00;41
07.01.16 11:00;40
07.01.16 12:00;40
07.01.16 13:00;36
07.01.16 14:00;33
07.01.16 15:00;34
07.01.16 16:00;40
07.01.16 17:00;40
07.01.16 18:00;37
07.01.16 19:00;31
07.01.16 20:00;27
07.01.16 21:00;27
07.01.16 22:00;23
07.01.16 23:00;12
08.01.16 00:00;17
08.01.16 01:00;13
08.01.16 02:00;12
08.01.16 03:00;12
08.01.16 04:00;16
08.01.16 05:00;22
08.01.16 06:00;28
08.01.16 07:00;29
08.01.16 08:00;26
08.01.16 09:00;25
08.01.16 10:00;25
08.01.16 11:00;25
08.01.16 12:00;25
08.01.16 13:00;27
08.01.16 14:00;32
08.01.16 15:00;37
08.01.16 16:00;45;;
08.01.16 17:00;46
08.01.16 18:00;40
08.01.16 19:00;34
08.01.16 20:00;31
08.01.16 21:00;32
08.01.16 22:00;26
08.01.16 23:00;26
09.01.16 00:00;25
09.01.16 01:00;24
09.01.16 02:00;23
09.01.16 03:00;21
09.01.16 04:00;22
09.01.16 05:00;23
09.01.16 06:00;25;;
09.01.16 07:00;32
09.01.16 08:00;37
09.01.16 09:00;36
09.01.16 10:00;35
09.01.16 11:00;34
09.01.16 12:00;31
09.01.16 13:00;27
09.01.16 14:00;27;;
09.01.16 15:00;30
09.01.16 16:00;36
09.01.16 17:00;36
09.01.16 18:00;35;;
09.01.16 19:00;29;;
09.01.16 20:00;25
09.01.16 21:00;25
09.01.16 22:00;22
09.01.16 23:00;15
10.01.16 00:00;19
10.01.16 01:00;16
10.01.16 02:00;12
10.01.16 03:00;10
10.01.16 04:00;10
10.01.16 05:00;9
10.01.16 06:00;11
10.01.16 07:00;15
10.01.16 08:00;18
10.01.16 09:00;19
10.01.16 10:00;21
10.01.16 11:00;21
10.01.16 12:00;20
10.01.16 13:00;20
10.01.16 14:00;21
10.01.16 15:00;23
10.01.16 16:00;27
10.01.16 17:00;35;;
10.01.16 18:00;33;;
10.01.16 19:00;30
10.01.16 20:00;26
10.01.16 21:00;26
10.01.16 22:00;23
10.01.16 23:00;21
11.01.16 00:00;20
11.01.16 01:00;19
11.01.16 02:00;19
11.01.16 03:00;19
11.01.16 04:00;21
11.01.16 05:00;28
11.01.16 06:00;41
11.01.16 07:00;45
11.01.16 08:00;44;;
11.01.16 09:00;41
11.01.16 10:00;41
11.01.16 11:00;42
11.01.16 12:00;42
11.01.16 13:00;39
11.01.16 14:00;37
11.01.16 15:00;37
11.01.16 16:00;44
11.01.16 17:00;42
11.01.16 18:00;40;;
11.01.16 19:00;33
11.01.16 20:00;27
11.01.16 21:00;28;;
11.01.16 22:00;24
11.01.16 23:00;21
12.01.16 00:00;19
12.01.16 01:00;19
12.01.16 02:00;15
12.01.16 03:00;15
12.01.16 04:00;20
12.01.16 05:00;24
12.01.16 06:00;35
12.01.16 07:00;40
12.01.16 08:00;41;;
12.01.16 09:00;38
12.01.16 10:00;36
12.01.16 11:00;35;;
12.01.16 12:00;33
12.01.16 13:00;32
12.01.16 14:00;33;;
12.01.16 15:00;36
12.01.16 16:00;41
12.01.16 17:00;40
12.01.16 18:00;29
12.01.16 19:00;26
12.01.16 20:00;24
12.01.16 21:00;24
12.01.16 22:00;21
12.01.16 23:00;21;;
13.01.16 00:00;19
13.01.16 01:00;18
13.01.16 02:00;15
13.01.16 03:00;18
13.01.16 04:00;20
13.01.16 05:00;24
13.01.16 06:00;27
13.01.16 07:00;29
13.01.16 08:00;30
13.01.16 09:00;31
13.01.16 10:00;33
13.01.16 11:00;33
13.01.16 12:00;34
13.01.16 13:00;34
13.01.16 14:00;37
13.01.16 15:00;39
13.01.16 16:00;43;;
13.01.16 17:00;42
13.01.16 18:00;38
13.01.16 19:00;29
13.01.16 20:00;26
13.01.16 21:00;25
13.01.16 22:00;23
13.01.16 23:00;24
14.01.16 00:00;23
14.01.16 01:00;22
14.01.16 02:00;22
14.01.16 03:00;22
14.01.16 04:00;23
14.01.16 05:00;29
14.01.16 06:00;44
14.01.16 07:00;44
14.01.16 08:00;41
14.01.16 09:00;34
14.01.16 10:00;33
14.01.16 11:00;31
14.01.16 12:00;33
14.01.16 13:00;39
14.01.16 14:00;42
14.01.16 15:00;42
14.01.16 16:00;45
14.01.16 17:00;41
14.01.16 18:00;40
14.01.16 19:00;38
14.01.16 20:00;30
14.01.16 21:00;28
14.01.16 22:00;25
14.01.16 23:00;24
15.01.16 00:00;25
15.01.16 01:00;24
15.01.16 02:00;23
15.01.16 03:00;22
15.01.16 04:00;23
15.01.16 05:00;26
15.01.16 06:00;40
15.01.16 07:00;45
15.01.16 08:00;45
15.01.16 09:00;45
15.01.16 10:00;46
15.01.16 11:00;44;;
15.01.16 12:00;42
15.01.16 13:00;39
15.01.16 14:00;37
15.01.16 15:00;38;;
15.01.16 16:00;45
15.01.16 17:00;48
15.01.16 18:00;44
15.01.16 19:00;34
15.01.16 20:00;29
15.01.16 21:00;27
15.01.16 22:00;25
15.01.16 23:00;27
16.01.16 00:00;26
16.01.16 01:00;25
16.01.16 02:00;24
16.01.16 03:00;24
16.01.16 04:00;25
16.01.16 05:00;24
16.01.16 06:00;25
16.01.16 07:00;27
16.01.16 08:00;32
16.01.16 09:00;34
16.01.16 10:00;33
16.01.16 11:00;29
16.01.16 12:00;26
16.01.16 13:00;25
16.01.16 14:00;25
16.01.16 15:00;30
16.01.16 16:00;39
16.01.16 17:00;40
16.01.16 18:00;30
16.01.16 19:00;26
16.01.16 20:00;25
16.01.16 21:00;25
16.01.16 22:00;24
16.01.16 23:00;20
17.01.16 00:00;20
17.01.16 01:00;20
17.01.16 02:00;20
17.01.16 03:00;20
17.01.16 04:00;20
17.01.16 05:00;19
17.01.16 06:00;22
17.01.16 07:00;23
17.01.16 08:00;26
17.01.16 09:00;30
17.01.16 10:00;36
17.01.16 11:00;32
17.01.16 12:00;26
17.01.16 13:00;26
17.01.16 14:00;27
17.01.16 15:00;31
17.01.16 16:00;39
17.01.16 17:00;42
17.01.16 18:00;39
17.01.16 19:00;33
17.01.16 20:00;27
17.01.16 21:00;27
17.01.16 22:00;24
17.01.16 23:00;23
18.01.16 00:00;23
18.01.16 01:00;23
18.01.16 02:00;23
18.01.16 03:00;23
18.01.16 04:00;24
18.01.16 05:00;27
18.01.16 06:00;46
18.01.16 07:00;49
18.01.16 08:00;50
18.01.16 09:00;49
18.01.16 10:00;48
18.01.16 11:00;46
18.01.16 12:00;46
18.01.16 13:00;45
18.01.16 14:00;49
18.01.16 15:00;49
18.01.16 16:00;62
18.01.16 17:00;56
18.01.16 18:00;47
18.01.16 19:00;35
18.01.16 20:00;26
18.01.16 21:00;26
18.01.16 22:00;25
18.01.16 23:00;31
19.01.16 00:00;32
19.01.16 01:00;28
19.01.16 02:00;30
19.01.16 03:00;30
19.01.16 04:00;27
19.01.16 05:00;31
19.01.16 06:00;54
19.01.16 07:00;64
19.01.16 08:00;65
19.01.16 09:00;61
19.01.16 10:00;61
19.01.16 11:00;58
19.01.16 12:00;58
19.01.16 13:00;55
19.01.16 14:00;55
19.01.16 15:00;56
19.01.16 16:00;70
19.01.16 17:00;74
19.01.16 18:00;57
19.01.16 19:00;48
19.01.16 20:00;37
19.01.16 21:00;33
19.01.16 22:00;29
19.01.16 23:00;26
20.01.16 00:00;26
20.01.16 01:00;26
20.01.16 02:00;25
20.01.16 03:00;25
20.01.16 04:00;26
20.01.16 05:00;32
20.01.16 06:00;55
20.01.16 07:00;61
20.01.16 08:00;58
20.01.16 09:00;58
20.01.16 10:00;56
20.01.16 11:00;58
20.01.16 12:00;57
20.01.16 13:00;54
20.01.16 14:00;52
20.01.16 15:00;72
20.01.16 16:00;92
20.01.16 17:00;79
20.01.16 18:00;70
20.01.16 19:00;50
20.01.16 20:00;40
20.01.16 21:00;33
20.01.16 22:00;29
20.01.16 23:00;29
21.01.16 00:00;27
21.01.16 01:00;26
21.01.16 02:00;26
21.01.16 03:00;27
21.01.16 04:00;29
21.01.16 05:00;40
21.01.16 06:00;70
21.01.16 07:00;85
21.01.16 08:00;83
21.01.16 09:00;74
21.01.16 10:00;70
21.01.16 11:00;59
21.01.16 12:00;57
21.01.16 13:00;57
21.01.16 14:00;61
21.01.16 15:00;57
21.01.16 16:00;77
21.01.16 17:00;86
21.01.16 18:00;60
21.01.16 19:00;50
21.01.16 20:00;35
21.01.16 21:00;30
21.01.16 22:00;26
21.01.16 23:00;28
22.01.16 00:00;27
22.01.16 01:00;26
22.01.16 02:00;26
22.01.16 03:00;27
22.01.16 04:00;28
22.01.16 05:00;30
22.01.16 06:00;48
22.01.16 07:00;52
22.01.16 08:00;48
22.01.16 09:00;45
22.01.16 10:00;44
22.01.16 11:00;42
22.01.16 12:00;37
22.01.16 13:00;32
22.01.16 14:00;32
22.01.16 15:00;32
22.01.16 16:00;34
22.01.16 17:00;28
22.01.16 18:00;26
22.01.16 19:00;25
22.01.16 20:00;24
22.01.16 21:00;24
22.01.16 22:00;22
22.01.16 23:00;24
23.01.16 00:00;24
23.01.16 01:00;23
23.01.16 02:00;22
23.01.16 03:00;22
23.01.16 04:00;22
23.01.16 05:00;21
23.01.16 06:00;23
23.01.16 07:00;24
23.01.16 08:00;28
23.01.16 09:00;31
23.01.16 10:00;34
23.01.16 11:00;34
23.01.16 12:00;30
23.01.16 13:00;28
23.01.16 14:00;29
23.01.16 15:00;29
23.01.16 16:00;36
23.01.16 17:00;42
23.01.16 18:00;35
23.01.16 19:00;28
23.01.16 20:00;25
23.01.16 21:00;26
23.01.16 22:00;27
23.01.16 23:00;24
24.01.16 00:00;23
24.01.16 01:00;24
24.01.16 02:00;23
24.01.16 03:00;22
24.01.16 04:00;23
24.01.16 05:00;21
24.01.16 06:00;21
24.01.16 07:00;22
24.01.16 08:00;24
24.01.16 09:00;27
24.01.16 10:00;32
24.01.16 11:00;28
24.01.16 12:00;26
24.01.16 13:00;24
24.01.16 14:00;23
24.01.16 15:00;25
24.01.16 16:00;32
24.01.16 17:00;36
24.01.16 18:00;35
24.01.16 19:00;31
24.01.16 20:00;26;;
24.01.16 21:00;27
24.01.16 22:00;22
24.01.16 23:00;20
25.01.16 00:00;19
25.01.16 01:00;19
25.01.16 02:00;19
25.01.16 03:00;20
25.01.16 04:00;21
25.01.16 05:00;25
25.01.16 06:00;34
25.01.16 07:00;35;;
25.01.16 08:00;36
25.01.16 09:00;36
25.01.16 10:00;35
25.01.16 11:00;34
25.01.16 12:00;32
25.01.16 13:00;30
25.01.16 14:00;29
25.01.16 15:00;31
25.01.16 16:00;34
25.01.16 17:00;36
25.01.16 18:00;31
25.01.16 19:00;26
25.01.16 20:00;25
25.01.16 21:00;23
25.01.16 22:00;18
25.01.16 23:00;20
26.01.16 00:00;18
26.01.16 01:00;15
26.01.16 02:00;15
26.01.16 03:00;17
26.01.16 04:00;21
26.01.16 05:00;27
26.01.16 06:00;34
26.01.16 07:00;38
26.01.16 08:00;32
26.01.16 09:00;29
26.01.16 10:00;29
26.01.16 11:00;28
26.01.16 12:00;29
26.01.16 13:00;27
26.01.16 14:00;30
26.01.16 15:00;30
26.01.16 16:00;32
26.01.16 17:00;29
26.01.16 18:00;24
26.01.16 19:00;23
26.01.16 20:00;21
26.01.16 21:00;20
26.01.16 22:00;13
26.01.16 23:00;10
27.01.16 00:00;3
27.01.16 01:00;0
27.01.16 02:00;0
27.01.16 03:00;8
27.01.16 04:00;13
27.01.16 05:00;17
27.01.16 06:00;22
27.01.16 07:00;23
27.01.16 08:00;28
27.01.16 09:00;29
27.01.16 10:00;25
27.01.16 11:00;24
27.01.16 12:00;22
27.01.16 13:00;20
27.01.16 14:00;23
27.01.16 15:00;23
27.01.16 16:00;28
27.01.16 17:00;30
27.01.16 18:00;29
27.01.16 19:00;21
27.01.16 20:00;19
27.01.16 21:00;16
27.01.16 22:00;13
27.01.16 23:00;14
28.01.16 00:00;12
28.01.16 01:00;12
28.01.16 02:00;12
28.01.16 03:00;13
28.01.16 04:00;17
28.01.16 05:00;23
28.01.16 06:00;28
28.01.16 07:00;30
28.01.16 08:00;29
28.01.16 09:00;29
28.01.16 10:00;25
28.01.16 11:00;24
28.01.16 12:00;25
28.01.16 13:00;26
28.01.16 14:00;31
28.01.16 15:00;33
28.01.16 16:00;39
28.01.16 17:00;46
28.01.16 18:00;36
28.01.16 19:00;32
28.01.16 20:00;27
28.01.16 21:00;26
28.01.16 22:00;20
28.01.16 23:00;21
29.01.16 00:00;19
29.01.16 01:00;19
29.01.16 02:00;18
29.01.16 03:00;15
29.01.16 04:00;18
29.01.16 05:00;26;;
29.01.16 06:00;34
29.01.16 07:00;36
29.01.16 08:00;34
29.01.16 09:00;29
29.01.16 10:00;25
29.01.16 11:00;21
29.01.16 12:00;20
29.01.16 13:00;19
29.01.16 14:00;19
29.01.16 15:00;22
29.01.16 16:00;27
29.01.16 17:00;25
29.01.16 18:00;25
29.01.16 19:00;21
29.01.16 20:00;17
29.01.16 21:00;14
29.01.16 22:00;10
29.01.16 23:00;14
30.01.16 00:00;8
30.01.16 01:00;0
30.01.16 02:00;0;;
30.01.16 03:00;-0
30.01.16 04:00;-0
30.01.16 05:00;-2
30.01.16 06:00;8
30.01.16 07:00;12
30.01.16 08:00;13
30.01.16 09:00;14
30.01.16 10:00;14
30.01.16 11:00;14
30.01.16 12:00;14
30.01.16 13:00;14
30.01.16 14:00;15
30.01.16 15:00;16
30.01.16 16:00;18
30.01.16 17:00;27
30.01.16 18:00;22
30.01.16 19:00;18
30.01.16 20:00;16
30.01.16 21:00;15
30.01.16 22:00;12;;
30.01.16 23:00;8
31.01.16 00:00;3
31.01.16 01:00;5
31.01.16 02:00;0
31.01.16 03:00;-0
31.01.16 04:00;0
31.01.16 05:00;0
31.01.16 06:00;6
31.01.16 07:00;8
31.01.16 08:00;10
31.01.16 09:00;11
31.01.16 10:00;14
31.01.16 11:00;16
31.01.16 12:00;12
31.01.16 13:00;13
31.01.16 14:00;13
31.01.16 15:00;16
31.01.16 16:00;21
31.01.16 17:00;26
31.01.16 18:00;25
31.01.16 19:00;21
31.01.16 20:00;18
31.01.16 21:00;18
31.01.16 22:00;16
31.01.16 23:00;16
01.02.16 00:00;14
01.02.16 01:00;15
01.02.16 02:00;13
01.02.16 03:00;13
01.02.16 04:00;14
01.02.16 05:00;23
01.02.16 06:00;35
01.02.16 07:00;37
01.02.16 08:00;36
01.02.16 09:00;33
01.02.16 10:00;29
01.02.16 11:00;24
01.02.16 12:00;21
01.02.16 13:00;18
01.02.16 14:00;17
01.02.16 15:00;18
01.02.16 16:00;23
01.02.16 17:00;23
01.02.16 18:00;22
01.02.16 19:00;17
01.02.16 20:00;14
01.02.16 21:00;14
01.02.16 22:00;8
01.02.16 23:00;4
02.02.16 00:00;0
02.02.16 01:00;-2
02.02.16 02:00;-1
02.02.16 03:00;0
02.02.16 04:00;9
02.02.16 05:00;15
02.02.16 06:00;22
02.02.16 07:00;22
02.02.16 08:00;22
02.02.16 09:00;22
02.02.16 10:00;22
02.02.16 11:00;22
02.02.16 12:00;22
02.02.16 13:00;22
02.02.16 14:00;23
02.02.16 15:00;23
02.02.16 16:00;28
02.02.16 17:00;29
02.02.16 18:00;24
02.02.16 19:00;22
02.02.16 20:00;17
02.02.16 21:00;14
02.02.16 22:00;9
02.02.16 23:00;13
03.02.16 00:00;11
03.02.16 01:00;8
03.02.16 02:00;6
03.02.16 03:00;9
03.02.16 04:00;13
03.02.16 05:00;21
03.02.16 06:00;33
03.02.16 07:00;35;;
03.02.16 08:00;33
03.02.16 09:00;25
03.02.16 10:00;22
03.02.16 11:00;21
03.02.16 12:00;20
03.02.16 13:00;22
03.02.16 14:00;23
03.02.16 15:00;26
03.02.16 16:00;32
03.02.16 17:00;36
03.02.16 18:00;36
03.02.16 19:00;30
03.02.16 20:00;23
03.02.16 21:00;22
03.02.16 22:00;17
03.02.16 23:00;18
04.02.16 00:00;16
04.02.16 01:00;15
04.02.16 02:00;15
04.02.16 03:00;13
04.02.16 04:00;17
04.02.16 05:00;22
04.02.16 06:00;31
04.02.16 07:00;30
04.02.16 08:00;27
04.02.16 09:00;29
04.02.16 10:00;30
04.02.16 11:00;27
04.02.16 12:00;26
04.02.16 13:00;25
04.02.16 14:00;27
04.02.16 15:00;27
04.02.16 16:00;35;;
04.02.16 17:00;42
04.02.16 18:00;39
04.02.16 19:00;32
04.02.16 20:00;26
04.02.16 21:00;27
04.02.16 22:00;23
